,Size,Ambientes,Address,Neighborhood,City,Rent
0,47, 3 ambs. , ZABALA 1700 ,Belgrano, Capital Federal ,25000
1,55, 3 ambs. , CALLAO Y CORRIENTES 441 ,Balvanera, Capital Federal ,24000
2,80, 3 ambs. , Virrey del Pino 2600 ,Belgrano, Capital Federal ,31000
3,49, 3 ambs. , Napoleon Uriburu 5769 ,Villa Lugano, Capital Federal ,12900
4,60, 3 ambs. , Rosario al 700 ,Caballito, Capital Federal ,20000
5,62, 3 ambs. , RAMÓN FALCÓN 3400 ,Flores, Capital Federal ,17500
6,66, 3 ambs. , Corrientes 5800 ,Villa Crespo, Capital Federal ,25000
7,55, 3 ambs. , Independencia 3177 ,Boedo, Capital Federal ,18000
8,110, 4 ambs. , Libertad al 1300 ,Recoleta, Capital Federal ,2200
9,61, 3 ambs. , CULLEN 4941 ,Villa Urquiza, Capital Federal ,50000
10,50, 3 ambs. , DEL LIBERTADOR AV al 6200 ,Belgrano, Capital Federal ,17000
11,56, 3 ambs. , Avellaneda 100 ,Caballito, Capital Federal ,25000
12,43, 3 ambs. , BOGOTA 261 ,Caballito, Capital Federal ,17000
13,64, 3 ambs. , AVDA FRANCISCO BEIRO al 4700 ,Villa Devoto, Capital Federal ,25000
14,68, 3 ambs. , Gral Hornos 840 ,Barracas, Capital Federal ,20000
15,94, 3 ambs. , POSADAS 1400 ,Recoleta, Capital Federal ,38000
16,65, 3 ambs. , LACARRA 472 ,Floresta, Capital Federal ,23000
17,51, 3 ambs. , Av. Honorio Pueyrredon 1120 ,Caballito, Capital Federal ,21000
18,46, 3 ambs. , Andres Vallejos 2500 ,Villa Pueyrredón, Capital Federal ,20000
19,60, 3 ambs. , Matheu al 1700 ,Parque Patricios, Capital Federal ,18000
20,62, 3 ambs. , Junin 410 ,Balvanera, Capital Federal ,24000
21,60, 3 ambs. , GORRITI al 3400 ,Recoleta, Capital Federal ,22000
22,54, 3 ambs. , Avenida larrazabal al 100 ,Liniers, Capital Federal ,23000
23,60, 3 ambs. , GORRITI al 3400 ,Palermo, Capital Federal ,22000
24,47, 3 ambs. , Tres Arroyos al 3900 ,Floresta, Capital Federal ,19500
25,53, 3 ambs. , Miller al 2500 ,Villa Urquiza, Capital Federal ,25000
26,74, 3 ambs. , Ruiz Huidobro 2600 ,Núñez, Capital Federal ,52000
27,60, 3 ambs. , aguilar al 2500 ,Belgrano, Capital Federal ,20000
28,83, 3 ambs. , Olga Cossettini 1350. 9*E ,Puerto Madero, Capital Federal ,800
29,118, 3 ambs. , Av Callao 1500 ,Recoleta, Capital Federal ,60000
30,65, 3 ambs. , Silvio L. Ruggieri al 2900 ,Palermo, Capital Federal ,60000
31,53, 3 ambs. , Avenida Rivadavia al 6200 ,Flores, Capital Federal ,28000
32,62, 3 ambs. , Solano Lopez 3300 1° ,Villa Devoto, Capital Federal ,35000
33,60, 3 ambs. , GASCON al 1100 ,Palermo, Capital Federal ,25000
34,110, 3 ambs. , Juana Manso 500 ,Puerto Madero, Capital Federal ,125000
35,78, 3 ambs. , MIGUELETES 1640 ,Belgrano, Capital Federal ,69000
36,78, 3 ambs. , MIGUELETES 1640 ,Belgrano, Capital Federal ,75000
37,55, 3 ambs. , Baez 250 ,Palermo, Capital Federal ,45000
38,78, 3 ambs. , MIGUELETES 1640 ,Belgrano, Capital Federal ,69000
39,57, 3 ambs. , Armenia al 2400 ,Palermo, Capital Federal ,32000
40,60, 3 ambs. , GORRITI al 3400 ,Recoleta, Capital Federal ,22000
41,69, 3 ambs. , Luis María Campos 86 6ºC ,Palermo, Capital Federal ,37000
42,95, 4 ambs. , Uriarte al 2200 ,Palermo, Capital Federal ,50000
43,86, 3 ambs. , Avenida Pueyrredon al 1700 ,Recoleta, Capital Federal ,38000
44,70, 3 ambs. , SAN JUAN al 3900 ,Boedo, Capital Federal ,37000
45,60, 3 ambs. , GASCON al 1100 ,Villa Crespo, Capital Federal ,25000
46,62, 3 ambs. , GUISE ,Palermo, Capital Federal ,35000
47,65, 3 ambs. , CORONEL DIAZ al 2100 ,Palermo, Capital Federal ,30000
48,50, 3 ambs. , Bonpland al 1600 ,Palermo, Capital Federal ,23000
49,53, 3 ambs. , Cap. Gral. R. Freire al 2000 ,Belgrano, Capital Federal ,25000
50,90, 3 ambs. , Uriarte 2200 ,Palermo, Capital Federal ,50000
51,80, 3 ambs. , Carlos Calvo al 1800 ,San Cristóbal, Capital Federal ,26000
52,100, 3 ambs. , AV. Cramer 2200 ,Belgrano, Capital Federal ,67000
53,60, 3 ambs. , PASAJE ANCON 5388 ,Palermo, Capital Federal ,37000
54,75, 3 ambs. , Virrey Olaguer Y Feliu 2444 ,Belgrano, Capital Federal ,58000
55,50, 3 ambs. , Fragata Presidente Sarmiento al 1100 ,Caballito, Capital Federal ,24000
56,100, 3 ambs. , Pasco al 1200 ,San Cristóbal, Capital Federal ,25000
57,79, 3 ambs. , Av. Nazca 1830 ,Villa del Parque, Capital Federal ,28000
58,95, 4 ambs. , Uriarte al 2200 ,Palermo, Capital Federal ,50000
59,134, 4 ambs. , Montevideo al 1300 ,Recoleta, Capital Federal ,1400
60,80, 3 ambs. , Semi Piso en Parana al 1000 3 amb con Dependencia de Servicio ,Recoleta, Capital Federal ,29900
61,68, 3 ambs. , Libertad al 1600 ,Recoleta, Capital Federal ,55000
62,46, 3 ambs. , SCALABRINI ORTIZ al 1400 ,Palermo, Capital Federal ,30000
63,65, 3 ambs. , Malabia 2200 ,Palermo, Capital Federal ,55000
64,64, 3 ambs. , Av Rivadavia al 4400 ,Caballito, Capital Federal ,22000
65,90, 4 ambs. , Soldado de la Independencia al 1300 ,Belgrano, Capital Federal ,53000
66,61, 3 ambs. , Cullen al 5000 ,Villa Urquiza, Capital Federal ,34000
67,100, 3 ambs. , Vista al Río ,Puerto Madero, Puerto Madero ,120000
68,57, 3 ambs. , Av. Coronel Diaz al 2000 ,Palermo, Capital Federal ,32000
69,80, 3 ambs. , Pompeya ,Nueva Pompeya, Capital Federal ,24000
70,61, 3 ambs. , AV. FIGUEROA ALCORTA al 3400 ,Palermo, Capital Federal ,42500
71,108, 3 ambs. , San Martín de Tours al 3100 ,Palermo, Capital Federal ,3000
72,100, 3 ambs. , República de la India al 2900 ,Palermo, Capital Federal ,140000
73,115, 3 ambs. , AV. LIBERTADOR al 3500 ,Palermo, Capital Federal ,80000
74,107, 3 ambs. , Avenida Alvear 1800 ,Recoleta, Capital Federal ,110000
75,100, 3 ambs. , Valor paquete con muebles Vista al Río ,Puerto Madero, Puerto Madero ,1500
76,73, 3 ambs. , Salta 1900 ,Constitución, Capital Federal ,24000
77,108, 3 ambs. , San Martín de Tours al 3100 ,Palermo, Capital Federal ,3000
78,100, 3 ambs. , República de la India al 2900 ,Palermo, Capital Federal ,140000
79,93, 3 ambs. , Arcos al 1700 ,Belgrano, Capital Federal ,2000
80,95, 3 ambs. , Gelly 3000 ,Palermo, Capital Federal ,1300
81,76, 3 ambs. , Moldes al 700 ,Belgrano, Capital Federal ,40000
82,100, 3 ambs. , Avenida Cramer 2200 ,Belgrano, Capital Federal ,72000
83,55, 3 ambs. , Basavilbaso al 1300 ,Retiro, Capital Federal ,30000
84,135, 3 ambs. , SALGUERO al 3000 ,Palermo, Capital Federal ,2000
85,115, 3 ambs. , AV. LIBERTADOR al 3500 ,Palermo, Capital Federal ,80000
86,100, 3 ambs. , Juana Manso al 400 ,Puerto Madero, Capital Federal ,1300
87,77, 3 ambs. , Valle al 1000 ,Caballito, Capital Federal ,38000
88,59, 3 ambs. , Gurruchaga 2200 ,Palermo, Capital Federal ,50000
89,81, 3 ambs. , AGUERO al 2300 ,Recoleta, Capital Federal ,35000
90,180, 4 ambs. , av. libertador al 4900 ,Palermo, Capital Federal ,250000
91,50, 3 ambs. , BULNES al 1100 ,Recoleta, Capital Federal ,45000
92,84, 3 ambs. , Nicaragua 5900 ,Palermo, Capital Federal ,80000
93,75, 3 ambs. , AZCUENAGA al 1400 ,Recoleta, Capital Federal ,35000
94,95, 3 ambs. , Bulnes al 2700 ,Palermo, Capital Federal ,65000
95,60, 3 ambs. , Cerviño al 3900 ,Palermo, Capital Federal ,40000
96,65, 3 ambs. , AMENABAR 3200 ,Núñez, Capital Federal ,195000
97,45, 3 ambs. , Avellaneda 2548 ,Flores, Capital Federal ,18000
98,152, 4 ambs. , San Blas 2100 ,Villa General Mitre, Capital Federal ,45000
99,82, 3 ambs. , JUNCAL Y LIBERTAD ,Recoleta, Capital Federal ,1100
100,101, 4 ambs. , REPUBLICA ARABE SIRIA 3300 2,Palermo, Capital Federal ,60000
101,52, 3 ambs. , French 2850 ,Recoleta, Capital Federal ,53500
102,165, 3 ambs. , AV. DEL Libertador al 300 ,Recoleta, Capital Federal ,3000
103,65, 3 ambs. ,Teodor García 1800,Belgrano, Capital Federal ,30000
104,64, 3 ambs. , DR. PEDRO IGNACIO RIVERA 4785 ,Villa Pueyrredón, Capital Federal ,36000
105,74, 3 ambs. , Moldes 2100 ,Belgrano, Capital Federal ,38000
106,191, 3 ambs. , Azucena Villaflor 669 ,Puerto Madero, Capital Federal ,4000
107,49, 3 ambs. , Directorio al 900 ,Caballito, Capital Federal ,18000
108,60, 3 ambs. , Gallo al 1200 ,Palermo, Capital Federal ,32000
109,80, 3 ambs. , Juan Maria Gutierrez al 2600 ,Recoleta, Capital Federal ,35000
110,283, 5 ambs. , Florida al 1000 ,Retiro, Capital Federal ,3500
111,78, 3 ambs. , Concepcion Arenal al 2400 ,Palermo, Capital Federal ,90000
112,191, 3 ambs. , Azucena Villaflor 669 ,Puerto Madero, Capital Federal ,3500
113,77, 3 ambs. , Av. Gral. Las Heras al 2400 ,Recoleta, Capital Federal ,38000
114,110, 3 ambs. , Av. Libertador al 900 ,Recoleta, Capital Federal ,49000
115,90, 3 ambs. , Cordoba al 1100 ,San Nicolás, Capital Federal ,33000
116,140, 3 ambs. , Arcos 1700 ,Belgrano, Capital Federal ,60000
117,47, 3 ambs. , Av. Scalabrini Ortiz al 1600 ,Palermo, Capital Federal ,27000
118,63, 3 ambs. , Chenaut al 1900 ,Palermo, Capital Federal ,45000
119,83, 3 ambs. , Avenida Córdoba al 2600 ,Recoleta, Capital Federal ,29500
120,85, 3 ambs. , Av. Jorge Newbery al 3400 ,Chacarita, Capital Federal ,1000
121,120, 3 ambs. , Mendoza 955 ,Belgrano, Capital Federal ,900
122,149, 4 ambs. , Juana Manso 1300 ,Puerto Madero, Capital Federal ,3000
123,130, 3 ambs. , Bv Azucena Villaflor al 550 ,Puerto Madero, Capital Federal ,140000
124,112, 3 ambs. , Migueletes 800 ,Palermo, Capital Federal ,2000
125,51, 3 ambs. , AV CABILDO al 200 ,Belgrano, Capital Federal ,23000
126,56, 3 ambs. , Avenida Olazabal 4600 ,Villa Urquiza, Capital Federal ,35000
127,53, 3 ambs. , Arenales al 3400 ,Palermo, Capital Federal ,32000
128,55, 3 ambs. , lascano 2900 ,Villa del Parque, Capital Federal ,30000
129,70, 3 ambs. , Jeronimo Salguero al 1800 ,Palermo, Capital Federal ,65000
130,88, 3 ambs. , Quintana al 500 ,Recoleta, Capital Federal ,45000
131,200, 3 ambs. , Av. del Libertador al 4900 ,Belgrano, Capital Federal ,1900
132,115, 3 ambs. , Juana Manso al 700 ,Puerto Madero, Capital Federal ,1800
133,95, 3 ambs. , Serrano 800 ,Villa Crespo, Capital Federal ,46800
134,60, 3 ambs. , Cabello y Scalabrini Ortíz ,Palermo, Capital Federal ,70000
135,53, 3 ambs. , Riglos al 600 ,Caballito, Capital Federal ,27000
136,165, 3 ambs. , AV. DEL Libertador al 300 ,Retiro, Capital Federal ,3000
137,130, 3 ambs. , Bv Azucena Villaflor al 550 ,Puerto Madero, Capital Federal ,1700
138,60, 3 ambs. , Remedios Escalada de San Martin 2749 ,Santa Rita, Capital Federal ,24300
139,90, 3 ambs. , Posadas al 1500 ,Recoleta, Capital Federal ,50000
140,95, 3 ambs. , Serrano 800 ,Caballito, Capital Federal ,46800
141,95, 2 dorms. , La Pampa al 700 ,Belgrano, Capital Federal ,130000
142,60, 3 ambs. , Conesa al 4600 ,Saavedra, Capital Federal ,42000
143,180, 3 ambs. , Avda. Del Libertador al 4900 ,Palermo, Capital Federal ,1900
144,110, 3 ambs. , Arenales al 800 ,Retiro, Capital Federal ,517
145,75, 4 ambs. , Hipolito Yrigoyen al 2500 ,Monserrat, Capital Federal ,23000
146,102, 4 ambs. , Schiaffino al 2100 ,Recoleta, Capital Federal ,70000
147,60, 3 ambs. , San Isidro Labrador 4600 ,Núñez, Capital Federal ,35500
148,175, 3 ambs. , Clay al 3000 ,Palermo, Capital Federal ,2000
149,67, 3 ambs. , Av Cramer 2500 ,Belgrano, Capital Federal ,38000
150,66, 3 ambs. , Paraguay al 1400 ,Recoleta, Capital Federal ,26000
151,65, 3 ambs. , Ramon Falcon 2500 ,Flores, Capital Federal ,43700
152,93, 3 ambs. , Coronel Diaz al 1500 ,Palermo, Capital Federal ,990
153,105, 5 ambs. , Av. Alvear al 1700 ,Recoleta, Capital Federal ,63000
154,63, 3 ambs. , Humboldt 1950 ,Palermo, Capital Federal ,1800
155,170, 3 ambs. , Demaria 4450 ,Palermo, Capital Federal ,1200
156,110, 3 ambs. , Juana Manso 1500 ,Puerto Madero, Capital Federal ,1300
157,90, 3 ambs. , Av Cordoba al 1400 ,San Nicolás, Capital Federal ,26000
158,250, 4 ambs. , Loft de Película en Puerto Madero ,Puerto Madero, Capital Federal ,3000
159,56, 3 ambs. , Ugarteche 3322 ,Palermo, Capital Federal ,28000
160,123, 4 ambs. , Posadas al 1100 ,Recoleta, Capital Federal ,96000
161,131, 3 ambs. , Azucena Villaflor al 500 ,Puerto Madero, Capital Federal ,2100
162,100, 2 ambs. , Sucre 2020 ,Belgrano, Capital Federal ,50000
163,70, 3 ambs. , Rodriguez Peña al 2000 ,Recoleta, Capital Federal ,35000
164,64, 3 ambs. , Rio de Janeiro al 1000 ,Almagro, Capital Federal ,30000
165,119, 3 ambs. , Posadas al 1100 ,Recoleta, Capital Federal ,1000
166,110, 3 ambs. , Av. Alvear al 1700 ,Recoleta, Capital Federal ,59000
167,95, 3 ambs. , Cerrito al 1500 y Posadas ,Recoleta, Capital Federal ,35000
168,113, 4 ambs. , CONDE al 1900 ,Belgrano, Capital Federal ,100000
169,69, 3 ambs. , Jorge Luis Borges 2100 6ºB ,Palermo, Capital Federal ,59000
170,55, 3 ambs. , Av. Figueroa Alcorta al 3000 ,Palermo, Capital Federal ,35000
171,91, 3 ambs. , Quartier del Polo,Palermo, Capital Federal ,2100
172,154, 3 ambs. , y Aime Paine ,Puerto Madero, Capital Federal ,3600
173,210, 4 ambs. , Aime Paine ,Puerto Madero, Capital Federal ,3200
174,106, 3 ambs. , Ortega Y Gasset 1625 ,Palermo, Capital Federal ,2000
175,70, 3 ambs. , Av Santa fe al 5300 ,Palermo, Capital Federal ,40000
176,219, 3 ambs. , Juana Manso al 1100 ,Puerto Madero, Capital Federal ,4000
177,162, 3 ambs. , Alvear al 1500 ,Recoleta, Capital Federal ,120000
178,83, 3 ambs. , Juana Manso al 1300 ,Puerto Madero, Capital Federal ,1300
179,110, 3 ambs. , Esmeralda 1386 ,Retiro, Capital Federal ,2000
180,70, 3 ambs. , AV Cramer al 1700 ,Belgrano, Capital Federal ,1500
181,80, 3 ambs. , Cerviño al 4600 ,Palermo, Capital Federal ,2500
182,89, 3 ambs. , Quartier Sinclair,Palermo, Capital Federal ,1500
183,156, 4 ambs. , Esmeralda al 1300 ,Retiro, Capital Federal ,1900
184,184, 4 ambs. , Libertad al 1600 ,Recoleta, Capital Federal ,2700
185,60, 3 ambs. , av de los Incas 4400 ,Coghlan, Capital Federal ,25000
186,85, 3 ambs. , CERVIÑO al 4700 ,Palermo, Capital Federal ,100000
187,60, 3 ambs. , Av Dorrego al 2600 ,Palermo, Capital Federal ,35000
188,120, 3 ambs. , Av. Corrientes 5300 ,Villa Crespo, Capital Federal ,45000
189,150, 5 ambs. , Av. Alvear al 1400 ,Recoleta, Capital Federal ,1100
190,170, 3 ambs. , Ugarteche 2910 ,Recoleta, Capital Federal ,1500
191,100, 4 ambs. , Av. Callao al 1600 ,Recoleta, Capital Federal ,62500
192,79, 3 ambs. , Guatemala 5648 ,Palermo, Capital Federal ,85000
193,100, 4 ambs. , FIGUEROA ALCORTA PRES. AV. 3000 9,Palermo, Capital Federal ,1300
194,123, 3 ambs. , Camila O'GORMAN al al 300 ,Puerto Madero, Capital Federal ,89000
195,85, 3 ambs. , Vuelta de Obligado al 4600 ,Núñez, Capital Federal ,34000
196,75, 3 ambs. , Juan B Justo al 1000 ,Palermo, Capital Federal ,1200
197,128, 3 ambs. , Azucena Villaflor 550 ,Puerto Madero, Capital Federal ,2700
198,100, 3 ambs. , Republica Arabe Siria al 3300 ,Palermo, Capital Federal ,60000
199,125, 4 ambs. , Libertador al 1100 ,Recoleta, Capital Federal ,58000
200,70, 3 ambs. , AV Cramer al 1700 ,Belgrano, Capital Federal ,1500
201,70, 3 ambs. , Paraguay al 800 ,Retiro, Capital Federal ,24000
202,170, 3 ambs. , Sinclair al 3200 ,Palermo, Capital Federal ,2500
203,90, 3 ambs. , Virrey Arredondo al 2200 ,Belgrano, Capital Federal ,47000
204,65, 3 ambs. , Av Libertador al 6700 ,Núñez, Capital Federal ,45000
205,160, 3 ambs. , Cerrito al 1100 ,Recoleta, Capital Federal ,2200
206,125, 3 ambs. , Aimé Painé al 1100 ,Puerto Madero, Capital Federal ,5000
207,115, 3 ambs. , Torre Art María Este ,Puerto Madero, Capital Federal ,100000
208,120, 3 ambs. , Cerviño al 4600 ,Palermo, Capital Federal ,3900
209,190, 4 ambs. , Copernico al 2300 ,Recoleta, Capital Federal ,2500
210,90, 3 ambs. , Juana Manso 1351 ,Puerto Madero, Capital Federal ,1600
211,140, 3 ambs. , Pueyrredon al 2400 ,Recoleta, Capital Federal ,45000
212,182, 5 ambs. , Juez Tedin al 3000 ,Palermo, Capital Federal ,2000
213,110, 3 ambs. , CAVIA 3000 12,Palermo, Capital Federal ,75000
214,81, 3 ambs. , Boulonge Sur Mer 400 ,Once, Capital Federal ,30000
215,130, 4 ambs. , Paraná al 1100 ,Recoleta, Capital Federal ,65000
216,130, 3 ambs. , julieta lanteri al 1300 ,Puerto Madero, Capital Federal ,3000
217,165, 3 ambs. , Madero Plaza Juana Manso al 1500 ,Puerto Madero, Capital Federal ,150000
218,105, 5 ambs. , Av. Alvear al 1700 ,Recoleta, Capital Federal ,63000
219,120, 3 ambs. , Mendoza 955 ,Belgrano, Capital Federal ,900
220,60, 3 ambs. , 11 de Septiembre 1630 ,Belgrano, Capital Federal ,32000
221,75, 3 ambs. , Humboldt al 2000 ,Palermo, Capital Federal ,2200
222,184, 4 ambs. , Macacha güemes al 300 ,Puerto Madero, Capital Federal ,3100
223,90, 3 ambs. , Virrey del Pino al 2100 ,Belgrano, Capital Federal ,2000
224,210, 3 ambs. , COPERNICO al 2300 ,Recoleta, Capital Federal ,2000
225,91, 3 ambs. , Güemes 3355 ,Palermo, Capital Federal ,2200
226,80, 3 ambs. , Azucena Villaflor al 400 ,Puerto Madero, Capital Federal ,1000
227,120, 3 ambs. , Parera al 100 ,Recoleta, Capital Federal ,80000
228,200, 3 ambs. , Sinclair 3200 ,Palermo, Capital Federal ,2500
229,77, 3 ambs. , Aime Paine al 1600 ,Puerto Madero, Capital Federal ,1150
230,130, 3 ambs. , Aime Paine al 1100 ,Puerto Madero, Capital Federal ,3000
231,254, 4 ambs. , Florida al 1000 ,Retiro, Capital Federal ,2500
232,89, 3 ambs. , Quintana al 400 ,Recoleta, Capital Federal ,40000
233,128, 3 ambs. , Arroyo al 800 ,Retiro, Capital Federal ,1250
234,184, 5 ambs. , Av. Figueroa Alcorta al 3000 ,Palermo, Capital Federal ,3500
235,191, 3 ambs. , Julieta Lanteri al 1200 ,Puerto Madero, Capital Federal ,3500
236,118, 3 ambs. , Juana Manso al 100 ,Puerto Madero, Capital Federal ,2100
237,70, 3 ambs. , Dorrego al 2200 ,Palermo, Capital Federal ,42000
238,59, 3 ambs. , Av. Luis Maria Campos al 400 ,Palermo, Capital Federal ,48000
239,68, 3 ambs. , Beruti al 3500 ,Palermo, Capital Federal ,55000
240,76, 3 ambs. , Uriarte 2300 ,Palermo, Capital Federal ,1100
241,76, 3 ambs. , ALQUILER DEPTO. RETIRO 3 AMB + DEPENDENCIA C/BAÑO. ,Retiro, Capital Federal ,28000
242,63, 3 ambs. , Demaria al 4500 ,Palermo, Capital Federal ,1100
243,169, 4 ambs. , Sinclair al 3200 ,Palermo, Capital Federal ,3000
244,130, 3 ambs. , Oro al 2800 ,Palermo, Capital Federal ,3700
245,197, 4 ambs. , Trinidad Guevara al 300 ,Puerto Madero, Capital Federal ,4500
246,125, 3 ambs. , AV DEL LIBERTADOR al 2400 ,Palermo, Capital Federal ,2500
247,160, 3 ambs. , Cerrito 1100 ,Recoleta, Capital Federal ,2100
248,61, 3 ambs. , Cullen al 5000 ,Villa Urquiza, Capital Federal ,36000
249,125, 4 ambs. , Libertador al 1100 ,Recoleta, Capital Federal ,45000
250,108, 3 ambs. , Ocampo al 2600 ,Palermo, Capital Federal ,2800
251,123, 4 ambs. , Esmeralda al 1300 ,Recoleta, Capital Federal ,1290
252,130, 3 ambs. , Ruggieri al 3000 ,Palermo, Capital Federal ,2200
253,78, 3 ambs. , Juana Manso 1500 5,Puerto Madero, Capital Federal ,105000
254,98, 3 ambs. , Ortega y Gasset al 1900 ,Palermo, Capital Federal ,2100
255,176, 3 ambs. , Juana MANSO al al 1100 ,Puerto Madero, Capital Federal ,2500
256,86, 3 ambs. , Fray Justo Sta. María de 2800 ,Palermo, Capital Federal ,1500
257,130, 4 ambs. , Avenida Cerviño al 4500 Quartier Polo ,Palermo, Capital Federal ,2800
258,91, 3 ambs. , Av. Segurola al 4400 ,Villa Devoto, Capital Federal ,45000
259,110, 3 ambs. , Migueletes al 800 ,Palermo, Capital Federal ,2200
260,75, 3 ambs. , Olazabal al 2200 ,Belgrano, Capital Federal ,90000
261,60, 3 ambs. , av de los Incas 4400 ,Villa Ortúzar, Capital Federal ,25000
262,150, 4 ambs. , Av. Alvear al 1500 ,Recoleta, Capital Federal ,2000
263,190, 3 ambs. , Marta Lynch al 400 ,Puerto Madero, Capital Federal ,4000
264,125, 3 ambs. , Av. del Libertador al 2400 ,Palermo, Capital Federal ,1800
265,91, 3 ambs. , Av. del Libertador al 5400 ,Palermo, Capital Federal ,2000
266,86, 3 ambs. , Fray Justo Sta Maria 2800 ,Palermo, Capital Federal ,2500
267,130, 3 ambs. , Av. del Libertador al 2400 ,Palermo, Capital Federal ,2900
268,180, 4 ambs. , av. libertador al 4900 ,Palermo, Capital Federal ,1900
269,60, 3 ambs. , Ciudad De La Paz al 1800 ,Belgrano, Capital Federal ,90000
270,80, 3 ambs. , Guemes 3300 ,Recoleta, Capital Federal ,3200
271,175, 3 ambs. , Julieta Lantieri al 1200 ,Puerto Madero, Capital Federal ,3200
272,122, 3 ambs. , LIBERTADOR al 1700 ,Palermo, Capital Federal ,2400
273,130, 4 ambs. , Avenida Cerviño al 4500 Quartier Polo ,Palermo, Capital Federal ,2500
274,80, 3 ambs. , Uruguay al 100 ,San Nicolás, Capital Federal ,35000
275,115, 4 ambs. , PACHECO DE MELO JOSE A. 1800 6,Recoleta, Capital Federal ,1000
276,92, 3 ambs. , Escalabrini Ortiz al 3500 ,Palermo, Capital Federal ,800
277,70, 3 ambs. , Demaría al 4500 ,Palermo, Capital Federal ,85000
278,107, 3 ambs. , Ramsay al 1800 ,Belgrano, Capital Federal ,1500
279,120, 3 ambs. , Parera al 100 ,Recoleta, Capital Federal ,94000
280,110, 4 ambs. , Congreso 2700 ,Belgrano, Capital Federal ,55000
281,98, 3 ambs. , Ortega y Gasset al 1900 ,Palermo, Capital Federal ,2100
282,65, 3 ambs. , RUGGIERI al 2900 ,Palermo, Capital Federal ,1800
283,90, 3 ambs. , Callao al 1600 ,Recoleta, Capital Federal ,1600
284,170, 3 ambs. , Córdoba al 5400 ,Palermo, Capital Federal ,2500
285,79, 3 ambs. , Uriarte al 2300 ,Palermo, Capital Federal ,1200
286,82, 3 ambs. , Dragones 2200 ,Belgrano, Capital Federal ,1800
287,54, 3 ambs. , Aguilar 2390 ,Palermo, Capital Federal ,36000
288,93, 3 ambs. , Coronel Diaz al 1500 ,Recoleta, Capital Federal ,900
289,95, 3 ambs. , Sinclair al 3000 ,Palermo, Capital Federal ,110000
290,123, 3 ambs. , Camila O'GORMAN al al 400 ,Puerto Madero, Capital Federal ,2300
291,100, 3 ambs. , Migueletes 800 ,Palermo, Capital Federal ,3000
292,90, 3 ambs. , Viamonte al 2700 ,Once, Capital Federal ,37000
