,Size,Ambientes,Address,Neighborhood,City,Rent
293,100, 4 ambs. , CALLAO AV. 1600 7,Recoleta, Capital Federal ,1600
294,90, 3 ambs. , Callao al 1600 ,Recoleta, Capital Federal ,1600
295,115, 3 ambs. , Cerviño al 3000 ,Palermo, Capital Federal ,3000
296,56, 3 ambs. , Bulnes al 1900 ,Palermo, Capital Federal ,40000
297,92, 4 ambs. , Callao al 1300 ,Recoleta, Capital Federal ,40000
298,75, 3 ambs. , Guemes al 3300 ,Palermo, Capital Federal ,1950
299,110, 3 ambs. , Juana Manso 590 Piso 38 Oficina Sup. 120 Mts2 ,Puerto Madero, Capital Federal ,2200
300,161, 3 ambs. , Juana Manso al 1300 ,Puerto Madero, Capital Federal ,2800
301,95, 3 ambs. , Parera al 100 ,Recoleta, Capital Federal ,65000
302,100, 3 ambs. , Cerviño y Sinclair,Palermo, Capital Federal ,1750
303,45, 3 ambs. , Av Cordoba al 1300 ,San Nicolás, Capital Federal ,18000
304,95, 3 ambs. , Sinclair al 3000 ,Palermo, Capital Federal ,1100
305,160, 3 ambs. , LIBERTADOR al 300 ,Recoleta, Capital Federal ,3000
306,125, 3 ambs. , Aime Paime al 1100 ,Puerto Madero, Capital Federal ,5500
307,130, 4 ambs. , Alvear al 1700 ,Recoleta, Capital Federal ,1900
308,110, 3 ambs. , Torres DEL Yatch 3 AMB Amobaldo Juana Manso 590 Piso 38 ,Puerto Madero, Capital Federal ,2800
309,177, 3 ambs. , Julieta Lanteri 1200 ,Puerto Madero, Capital Federal ,3200
310,108, 3 ambs. , Felipe Vallese 2751 ,Floresta, Capital Federal ,48000
311,70, 3 ambs. , Coronel Diaz al 2700 ,Palermo, Capital Federal ,1000
312,82, 3 ambs. , Av. Córdoba 5400 ,Palermo, Capital Federal ,100000
313,177, 3 ambs. , Torre El Faro ,Puerto Madero, Puerto Madero ,3200
314,95, 3 ambs. , Sinclair al 3000 ,Palermo, Capital Federal ,1100
315,107, 3 ambs. , Manso Juana al 500 ,Puerto Madero, Capital Federal ,1500
316,169, 4 ambs. , Marcelo T de Alvear e/ Uriburu y Junín ,Recoleta, Capital Federal ,1800
317,58, 3 ambs. , Cordoba 5291 ,Palermo, Capital Federal ,150000
318,160, 3 ambs. , Alvear al 1800 y Callao ,Recoleta, Capital Federal ,2500
319,70, 3 ambs. , Juana Manso al 1600 ,Puerto Madero, Capital Federal ,78000
320,100, 4 ambs. , Montevideo 1500 3,Recoleta, Capital Federal ,55000
321,200, 3 ambs. , Copernico al 2300 Duplex Amoblado ,Recoleta, Capital Federal ,2000
322,90, 3 ambs. , Av. Callao al 1400 ,Recoleta, Capital Federal ,90000
323,118, 4 ambs. , Cerviño al 4500 ,Palermo, Capital Federal ,2500
324,130, 3 ambs. , Cerviño al 4600 y Oro ,Palermo, Capital Federal ,2500
325,46, 3 ambs. , Piedras al 1300 ,San Telmo, Capital Federal ,27000
326,100, 4 ambs. , Laprida al 1800 Entre French y Peña ,Recoleta, Capital Federal ,49000
327,118, 3 ambs. , Martha SALOTTI al al 400 ,Puerto Madero, Capital Federal ,1500
328,182, 3 ambs. , Azucena Villaflor al 500 ,Puerto Madero, Capital Federal ,3500
329,95, 3 ambs. , Sinclair al 3000 ,Palermo, Capital Federal ,110000
330,85, 3 ambs. , Niceto Vega 5850 ,Palermo, Capital Federal ,1600
331,120, 3 ambs. , Del Libertador al 900 y Callao ,Recoleta, Capital Federal ,57500
332,115, 3 ambs. , Posadas al 1100 y Cerrito ,Recoleta, Capital Federal ,1000
333,95, 3 ambs. , Segui 4700 ,Palermo, Capital Federal ,1700
334,120, 3 ambs. , Migueletes al 800 ,Palermo, Capital Federal ,2500
335,91, 3 ambs. , Av. Del Libertador 5500 ,Belgrano, Capital Federal ,76000
336,100, 3 ambs. , Ramsay 1800 ,Belgrano, Capital Federal ,1600
337,140, 3 ambs. , Aimé Painé al 1100 ,Puerto Madero, Capital Federal ,4500
338,152, 3 ambs. , Juana Manso al 1000,Puerto Madero, Capital Federal ,2680
339,200, 4 ambs. , sinclair al 3200 ,Palermo, Capital Federal ,2700
340,180, 3 ambs. , LANTERI JULIETA al 1200 ,Puerto Madero, Capital Federal ,3200
341,128, 3 ambs. , Azucena Villaflor al 400 ,Puerto Madero, Capital Federal ,2000
342,110, 3 ambs. , Juana Manso al 400 ,Puerto Madero, Capital Federal ,1300
343,123, 3 ambs. , Esmeralda al 1300 ,Retiro, Capital Federal ,1100
344,78, 3 ambs. , BULNES al 2700 ,Palermo, Capital Federal ,1700
345,80, 3 ambs. , Cabrera 3500 1° ,Palermo, Capital Federal ,35000
346,62, 3 ambs. , Quirno al 300 ,Flores, Capital Federal ,35000
347,74, 3 ambs. , Edificio Brisas Torre Juana Manso ,Puerto Madero, Capital Federal ,1400
348,90, 3 ambs. , Juana Manso al 500 ,Puerto Madero, Capital Federal ,2500
349,172, 4 ambs. , FIGUEROA ALCORTA al 3700 ,Palermo, Capital Federal ,2200
350,68, 3 ambs. , Ombu al 2900 ,Palermo, Capital Federal ,1500
351,110, 3 ambs. , Virrey del Pino al 2100 ,Belgrano, Capital Federal ,1000
352,124, 3 ambs. , Juana Manso 1500 ,Puerto Madero, Capital Federal ,2000
353,106, 3 ambs. , Av. Juana Manso ,Puerto Madero, Capital Federal ,1200
354,117, 3 ambs. , Martha SALOTTI al al 400 ,Puerto Madero, Capital Federal ,2000
355,143, 3 ambs. , Eyle  Petrona al 300  ,Puerto Madero, Capital Federal ,5500
356,78, 3 ambs. , Azucena Villaflor 300 ,Puerto Madero, Capital Federal ,1400
357,95, 4 ambs. , Ayacucho al 1500 ,Recoleta, Capital Federal ,2000
358,80, 3 ambs. , MIGUELETES al 500 ,Palermo, Capital Federal ,1500
359,72, 3 ambs. , Sinclair al 3200 ,Palermo, Capital Federal ,1300
360,80, 3 ambs. , Niceto Vega 5800 ,Palermo, Capital Federal ,1250
361,110, 4 ambs. , Riobamba al 1000 ,Recoleta, Capital Federal ,80000
362,110, 3 ambs. , Juana Manso 500 ,Puerto Madero, Capital Federal ,1350
363,67, 3 ambs. , Migueletes al 900 ,Palermo, Capital Federal ,1200
364,70, 3 ambs. , SANTA MARIA DE ORO FRAY JUSTO al 2800 ,Palermo, Capital Federal ,2600
365,130, 3 ambs. , Villaflor al 500 ,Puerto Madero, Capital Federal ,2200
366,70, 3 ambs. , RUGGIERI al 2900 ,Palermo, Capital Federal ,150000
367,72, 3 ambs. , Torres LAS Plazas,Palermo, Capital Federal ,80000
368,145, 3 ambs. , Martha Lynch al 400 ,Puerto Madero, Capital Federal ,2900
369,70, 3 ambs. , CORRIENTES 2300 ,San Cristóbal, Capital Federal ,24200
370,100, 3 ambs. , Ruggieri al 2900 ,Palermo, Capital Federal ,3000
371,120, 3 ambs. , ORO al 2800 ,Palermo, Capital Federal ,3000
372,52, 3 ambs. , Ciudad de la Paz al 3000 ,Núñez, Capital Federal ,28500
373,95, 3 ambs. , Serrano 800 ,Palermo, Capital Federal ,46800
374,192, 4 ambs. , El Faro. Azucena Villaflor 600. ,Puerto Madero, Capital Federal ,224000
375,135, 4 ambs. , GODOY CRUZ al 3000 ,Palermo, Capital Federal ,3000
376,107, 3 ambs. , Ruggeri al 3000 ,Palermo, Capital Federal ,2500
377,95, 4 ambs. , Avenida Alvear al 1800 ,Recoleta, Capital Federal ,1000
378,120, 3 ambs. , Parera e/ Quintana y Alvear ,Recoleta, Capital Federal ,94500
379,144, 3 ambs. , Marta Lynch al 400 ,Puerto Madero, Capital Federal ,2500
380,120, 3 ambs. , Julieta Lanteri al 1300 ,Puerto Madero, Capital Federal ,2500
381,135, 3 ambs. , ALVEAR al 1500 ,Recoleta, Capital Federal ,1600
382,60, 3 ambs. , Juan de Dios Filiberto al 1000 ,La Boca, Capital Federal ,35000
383,90, 3 ambs. , Juan b Justo al 1000 ,Palermo, Capital Federal ,1200
384,240, 3 ambs. , MANSO JUANA al 100 ,Puerto Madero, Capital Federal ,4800
385,78, 3 ambs. , Juramento 2800 10° ,Belgrano, Capital Federal ,38000
386,100, 3 ambs. , Olga Cossettini 1600 ,Puerto Madero, Capital Federal ,1600
387,68, 3 ambs. , Ruggeri al 2900 ,Palermo, Capital Federal ,1400
388,78, 3 ambs. , Carlos Pellegrini al 1300 ,Recoleta, Capital Federal ,2000
389,95, 3 ambs. , Godoy Cruz al 2900 ,Palermo, Capital Federal ,2000
390,95, 3 ambs. , AV SANTA FE al 1900 ,Recoleta, Capital Federal ,65000
391,85, 3 ambs. , Azcuenaga 1500 ,Recoleta, Capital Federal ,1300
392,130, 5 ambs. , Ayacucho al 1900 ,Recoleta, Capital Federal ,2700
393,133, 3 ambs. , MANSO JUANA al 100 ,Puerto Madero, Capital Federal ,3500
394,95, 3 ambs. , Serrano 800 ,Colegiales, Capital Federal ,46800
395,90, 3 ambs. , Juan b Justo al 1000 ,Palermo, Capital Federal ,1600
396,50, 3 ambs. , Valentín Gómez 3600 ,Almagro, Capital Federal ,21000
397,124, 3 ambs. , Juana Manso 1150 ,Puerto Madero, Capital Federal ,1100
398,175, 3 ambs. , Guemes Macacha al 300 ,Puerto Madero, Capital Federal ,3300
399,150, 3 ambs. , Petrona Eyle al 300 ,Puerto Madero, Capital Federal ,3500
400,66, 3 ambs. , Azucena Maizani 395 ,Puerto Madero, Capital Federal ,95000
401,191, 3 ambs. , Julieta Lanteri al 1200 ,Puerto Madero, Capital Federal ,3500
402,110, 4 ambs. , Congreso 2700 ,Belgrano, Capital Federal ,60000
403,84, 3 ambs. , Azcuénaga y French ,Palermo, Capital Federal ,1500
404,132, 3 ambs. , Av del Libertador al 2400 ,Palermo, Capital Federal ,2900
405,132, 3 ambs. , Av del Libertador al 2400 ,Palermo, Capital Federal ,2200
406,65, 3 ambs. , CABELLO al 3400 ,Palermo, Capital Federal ,63000
407,55, 3 ambs. , Zapiola 2300 ,Belgrano, Capital Federal ,30000
408,65, 3 ambs. , Juncal 4500 ,Palermo, Capital Federal ,60000
409,75, 4 ambs. , corrientes 4900 ,Villa Crespo, Capital Federal ,29000
410,90, 3 ambs. , Juana Manso 1351 ,Puerto Madero, Capital Federal ,1600
411,150, 3 ambs. , Alvear 1500 e/ y Montevideo ,Recoleta, Capital Federal ,2000
412,52, 3 ambs. , Paraguay 3604 ,Palermo, Capital Federal ,950
413,145, 3 ambs. , Juana Manso al 100 ,Puerto Madero, Capital Federal ,2500
414,113, 3 ambs. , CLAY al 3000 ,Palermo, Capital Federal ,2500
415,120, 3 ambs. , Rosario Vera Peñaloza al 500 ,Puerto Madero, Capital Federal ,250000
416,64, 3 ambs. , GUEMES al 4200 ,Palermo, Capital Federal ,25000
417,95, 3 ambs. , Serrano 800 ,Almagro, Capital Federal ,46800
418,152, 3 ambs. , Martha Salotti al 500 ,Puerto Madero, Capital Federal ,3000
419,100, 3 ambs. , Rodríguez Peña 1800 ,Recoleta, Capital Federal ,1200
420,122, 3 ambs. , ARROYO al 1100 ,Recoleta, Capital Federal ,1850
421,140, 3 ambs. , Ayacucho 1800 7,Recoleta, Capital Federal ,1800
422,95, 3 ambs. , Serrano 800 ,Caballito, Capital Federal ,46800
423,60, 3 ambs. , Arroyo al 800 ,Recoleta, Capital Federal ,2500
424,70, 3 ambs. , Libertador al 5700 ,Belgrano, Capital Federal ,1500
425,140, 3 ambs. , Pueyrredon al 2400 ,Recoleta, Capital Federal ,1000
426,145, 3 ambs. , Juana Manso al 100 ,Puerto Madero, Capital Federal ,2100
427,80, 3 ambs. , Mario bravo 1200 ,Palermo, Capital Federal ,35000
428,63, 3 ambs. , Dorrego 2700 ,Palermo, Capital Federal ,40000
429,60, 3 ambs. , H.Pueyrredon 700 ,Palermo, Capital Federal ,30346
430,98, 3 ambs. , Laprida al 1800 ,Recoleta, Capital Federal ,49000
431,95, 3 ambs. , Serrano 800 ,Chacarita, Capital Federal ,46800
432,46, 3 ambs. , Aguilar 2800 6° ,Colegiales, Capital Federal ,22000
433,140, 3 ambs. , Pueyrredon al 2400 ,Recoleta, Capital Federal ,45000
434,88, 3 ambs. , Scalabrini Ortiz al 2900 ,Palermo, Capital Federal ,48000
435,70, 3 ambs. , Santa Fe al 4900 ,Palermo, Capital Federal ,2200
436,55, 3 ambs. , ÁNGEL J. CARRANZA 2300 ,Palermo, Capital Federal ,24000
437,128, 3 ambs. , Azucena Villaflor al 400 ,Puerto Madero, Capital Federal ,150000
438,81, 3 ambs. , Guemes 3355 ,Palermo, Capital Federal ,2200
439,78, 3 ambs. , Bolivar al 1000 ,San Telmo, Capital Federal ,28000
440,89, 3 ambs. , Quintana al 400 ,Recoleta, Capital Federal ,40000
441,65, 3 ambs. , Anchorena 1600 ,Recoleta, Capital Federal ,40000
442,95, 3 ambs. , Serrano 800 ,Almagro, Capital Federal ,52000
443,53, 3 ambs. , Nazarre al 2600 ,Villa del Parque, Capital Federal ,27000
444,60, 3 ambs. , OLAYA al 1100 ,Caballito, Capital Federal ,20000
445,110, 4 ambs. , Congreso 2700 ,Belgrano, Capital Federal ,60000
446,64, 3 ambs. , DR. PEDRO IGNACIO RIVERA 4785 ,Villa Ortúzar, Capital Federal ,36000
447,120, 3 ambs. , Posadas al 1100 ,Recoleta, Capital Federal ,59000
448,56, 3 ambs. , MANSILLA 2600 ,Recoleta, Capital Federal ,28000
449,117, 4 ambs. , DEL LIBERTADOR AV. 900 4,Recoleta, Capital Federal ,68000
450,117, 3 ambs. , QUARTIER ORO al 100 ,Palermo, Capital Federal ,2300
451,105, 3 ambs. , Av. Puerredon 2400 ,Recoleta, Capital Federal ,45000
452,78, 3 ambs. , Peru al 800 ,San Telmo, Capital Federal ,50000
453,60, 3 ambs. , H.Pueyrredon 700 ,Almagro, Capital Federal ,30346
454,70, 3 ambs. , CORRIENTES 2300 ,Once, Capital Federal ,24200
455,74, 3 ambs. , Moldes 2100 ,Belgrano, Capital Federal ,38000
456,90, 3 ambs. , Juncal al 1300 ,Recoleta, Capital Federal ,30000
457,75, 3 ambs. , Cabrera al 3900 ,Palermo, Capital Federal ,70000
458,60, 3 ambs. , H.Pueyrredon 700 ,Flores, Capital Federal ,30346
459,55, 3 ambs. , Mario Bravo 1111 ,Almagro, Capital Federal ,23000
460,64, 3 ambs. , DR. PEDRO IGNACIO RIVERA 4785 ,Belgrano, Capital Federal ,36000
461,100, 3 ambs. , LIBERTAD 735 ,San Nicolás, Capital Federal ,40000
462,230, 3 ambs. , Santos Dumont 3400 ,Colegiales, Capital Federal ,2800
463,80, 3 ambs. , Riobamba 1100 4° ,Recoleta, Capital Federal ,40000
464,110, 4 ambs. , Congreso 2700 ,Belgrano, Capital Federal ,60000
465,97, 3 ambs. , Bolivar al 800 ,San Telmo, Capital Federal ,30000
466,100, 4 ambs. , Av. Quintana 100 6,Recoleta, Capital Federal ,70000
467,106, 4 ambs. , POSADAS 1100 25,Recoleta, Capital Federal ,90000
468,70, 3 ambs. , julian alvarez 300 ,Paternal, Capital Federal ,30492
469,80, 3 ambs. , Mario bravo 1200 ,Recoleta, Capital Federal ,35000
470,66, 3 ambs. , sucre 2970 ,Belgrano, Capital Federal ,35000
471,60, 3 ambs. , H.Pueyrredon 700 ,Agronomía, Capital Federal ,30346
472,76, 3 ambs. , Guemes al 3300 ,Recoleta, Capital Federal ,140000
473,60, 3 ambs. , H.Pueyrredon 700 ,Caballito, Capital Federal ,30346
474,70, 3 ambs. , julian alvarez 300 ,Caballito, Capital Federal ,30000
475,70, 3 ambs. , CORRIENTES 2300 ,San Nicolás, Capital Federal ,24200
476,80, 3 ambs. , Mario bravo 1200 ,Recoleta, Capital Federal ,35000
477,124, 3 ambs. , Azucena Villaflor 450 ,Puerto Madero, Capital Federal ,2500
478,60, 3 ambs. , H.Pueyrredon 700 ,Chacarita, Capital Federal ,30346
479,130, 3 ambs. , Avda. del Libertador 7324 ,Núñez, Capital Federal ,50000
480,80, 3 ambs. , Av. Corrientes 2900 ,Balvanera, Capital Federal ,33000
481,150, 3 ambs. , Juana Manso al 100 ,Puerto Madero, Capital Federal ,2200
482,57, 3 ambs. , Juncal al 4500 ,Palermo, Capital Federal ,29000
483,220, 3 ambs. , Sucre al 700 ,Belgrano, Capital Federal ,4200
484,100, 3 ambs. , Callao 1600 ,Recoleta, Capital Federal ,120000
485,140, 3 ambs. , Pueyrredon al 2400 ,Recoleta, Capital Federal ,1000
486,70, 3 ambs. , Avellaneda al 2000 ,Flores, Capital Federal ,22000
487,65, 3 ambs. , Silvio Ruggieri 2900 ,Palermo, Capital Federal ,1400
488,70, 3 ambs. , CORRIENTES 2300 ,Congreso, Capital Federal ,30000
489,76, 3 ambs. , ALQUILER DEPTO. BARRIO NORTE 3 AMB + DEPENDENCIA C ,Recoleta, Capital Federal ,28000
490,120, 3 ambs. , Parera al 100 ,Recoleta, Capital Federal ,80000
491,70, 3 ambs. , CORRIENTES 2300 ,Almagro, Capital Federal ,30492
492,60, 3 ambs. , H.Pueyrredon 700 ,Paternal, Capital Federal ,30346
493,116, 3 ambs. , Camila O Gorman 400 ,Puerto Madero, Capital Federal ,2500
494,55, 3 ambs. , DELGADO 588 ,Colegiales, Capital Federal ,25000
495,89, 3 ambs. , Riobamba 900 ,Recoleta, Capital Federal ,1800
496,107, 4 ambs. , Cerrito 1100 ,Retiro, Capital Federal ,1000
497,60, 3 ambs. , av de los Incas 4400 ,Colegiales, Capital Federal ,25000
498,131, 3 ambs. , AZUCENA VILLAFLOR 500 ,Puerto Madero, Capital Federal ,2700
499,60, 3 ambs. , av de los Incas 4400 ,Agronomía, Capital Federal ,25000
500,110, 3 ambs. , Av del Libertador al 3500 ,Palermo, Capital Federal ,37500
501,78, 3 ambs. , UGARTECHE 3000 9,Palermo, Capital Federal ,55000
502,90, 4 ambs. , Libertad 1300 ,Recoleta, Capital Federal ,1700
503,124, 3 ambs. , Azucena Villaflor 450 ,Puerto Madero, Capital Federal ,2000
504,170, 3 ambs. , Teodoro Garcia 1700 ,Belgrano, Capital Federal ,2000
505,60, 3 ambs. , Lavalle 1700 ,San Nicolás, Capital Federal ,21000
506,95, 3 ambs. , Serrano 800 ,Palermo, Capital Federal ,46800
507,110, 3 ambs. , Camila O'Gorman 373 ,Puerto Madero, Capital Federal ,1800
508,125, 3 ambs. , AIME PAIME al al 1100 ,Puerto Madero, Capital Federal ,5000
509,128, 3 ambs. , Le Parc Puerto Madero  Azucena Villaflor 400  ,Puerto Madero, Capital Federal ,2800
510,150, 3 ambs. , AVENIDA DEL LIBERTADOR al 3500 ,Palermo, Capital Federal ,95000
511,98, 3 ambs. , Guemes al 3300 ,Recoleta, Capital Federal ,180000
512,75, 3 ambs. , Carlos Pellegrini 1300 ,Recoleta, Capital Federal ,1400
513,60, 3 ambs. , av de los Incas 4400 ,Paternal, Capital Federal ,25000
514,65, 3 ambs. , Estados Unidos al 700 ,San Telmo, Capital Federal ,25000
515,135, 4 ambs. , ALVEAR 1500 6,Recoleta, Capital Federal ,1800
516,63, 3 ambs. , Arenales al 3400 ,Recoleta, Capital Federal ,26000
517,100, 3 ambs. , Republica Arabe Siria al 3300 ,Recoleta, Capital Federal ,60000
518,88, 3 ambs. , Olga Cossettini 1100 ,Puerto Madero, Capital Federal ,1700
519,145, 3 ambs. , Juana Manso al 100 ,Puerto Madero, Capital Federal ,2300
520,97, 3 ambs. , Cerviño al 3600 ,Palermo, Capital Federal ,1700
521,117, 3 ambs. , Camila O' Gorman 300,Puerto Madero, Capital Federal ,2600
522,70, 3 ambs. , Cabello 3400 E/paunero y Salguero,Recoleta, Capital Federal ,1500
523,50, 3 ambs. , Jorge Luis Borges 1800 ,Palermo, Capital Federal ,40000
524,60, 3 ambs. , Olazabal 3400 ,Belgrano, Capital Federal ,27000
525,80, 3 ambs. , Guemes al 3300 ,Palermo, Capital Federal ,3200
526,214, 3 ambs. , Pierina Dealessi al 500 ,Puerto Madero, Capital Federal ,4000
527,87, 3 ambs. , Bulnes al 2700 ,Palermo, Capital Federal ,1800
528,54, 3 ambs. , Aguilar 2390 ,Belgrano, Capital Federal ,36000
529,66, 3 ambs. , Sanchez de Bustamante al 2300 ,Recoleta, Capital Federal ,26000
530,70, 3 ambs. , julian alvarez 300 ,Chacarita, Capital Federal ,24200
531,68, 3 ambs. , REPUBLICA ARABE SIRIA 3200 ,Palermo, Capital Federal ,50000
532,72, 3 ambs. , TUCUMAN 1536 ,San Nicolás, Capital Federal ,22000
533,60, 3 ambs. , Catamarca 500 ,Balvanera, Capital Federal ,25000
534,55, 3 ambs. , Av. Figueroa Alcorta 3000 ,Palermo, Capital Federal ,32000
535,62, 3 ambs. , OLAYA al 1100 ,Caballito, Capital Federal ,24200
536,75, 3 ambs. , Juncal 4690 ,Palermo, Capital Federal ,80000
537,70, 3 ambs. , CORRIENTES 2300 ,Recoleta, Capital Federal ,24200
538,61, 3 ambs. , av Las Heras 2024 ,Recoleta, Capital Federal ,40000
539,61, 3 ambs. , VUELTA DE OBLIGADO al 1400 ,Belgrano, Capital Federal ,35000
540,62, 3 ambs. , OLAYA al 1100 ,Villa Crespo, Capital Federal ,24200
541,100, 3 ambs. , Migueletes 800 ,Palermo, Capital Federal ,3000
542,78, 3 ambs. , Arce al 400 ,Palermo, Capital Federal ,30000
543,90, 3 ambs. , Av. Nazca 1830 ,Villa del Parque, Capital Federal ,28000
544,60, 3 ambs. , Quintana al 500 ,Recoleta, Capital Federal ,1500
545,38, 3 ambs. , AV. CORRIENTES al 1200 ,San Nicolás, Capital Federal ,24000
546,200, 4 ambs. , Repùblica de la India al 3000 ,Palermo, Capital Federal ,3800
547,60, 3 ambs. , H.Pueyrredon 700 ,Villa Crespo, Capital Federal ,30346
548,70, 3 ambs. , CORRIENTES 2300 ,Balvanera, Capital Federal ,30000
549,80, 3 ambs. , Avenida Martin Comodoro Rivadavia 2360 ,Núñez, Capital Federal ,100000
550,42, 3 ambs. , Avenida Callao al 700 ,Recoleta, Capital Federal ,19000
551,55, 3 ambs. , Quintana al 200 ,Recoleta, Capital Federal ,34000
552,67, 3 ambs. ,  LUIS MARIA CAMPOS 86,Palermo, Capital Federal ,27500
553,75, 4 ambs. , corrientes 4900 ,Palermo, Capital Federal ,29000
554,60, 3 ambs. , Av Los Incas 5153 ,Parque Chas, Capital Federal ,28000
555,70, 3 ambs. , julian alvarez 300 ,Once, Capital Federal ,24200
556,135, 3 ambs. , Pueyrredon 2400 ,Recoleta, Capital Federal ,1180
557,114, 3 ambs. , AV. ALVEAR al 1700  ,Recoleta, Capital Federal ,2000
558,107, 4 ambs. , Cerrito 1100 ,Recoleta, Capital Federal ,1000
559,55, 3 ambs. , CORONEL DIAZ 2489 ,Recoleta, Capital Federal ,30000
560,65, 3 ambs. , AVENIDA BELGRANO 1469 ,Monserrat, Capital Federal ,24000
561,70, 3 ambs. , Concepción Arenal al 2700 ,Palermo, Capital Federal ,55000
562,150, 3 ambs. , Olga Cossettini 1500 ,Puerto Madero, Capital Federal ,3500
563,50, 3 ambs. , Pueyrredon 740 ,Balvanera, Capital Federal ,35000
564,80, 3 ambs. , Scalabrini Ortiz al 2700 ,Palermo, Capital Federal ,27000
565,70, 3 ambs. , Parana 1100 7° ,Recoleta, Capital Federal ,35000
566,146, 4 ambs. , San Blas 2100 ,Villa General Mitre, Capital Federal ,45000
567,185, 3 ambs. , Macacha guemes al 300 ,Puerto Madero, Capital Federal ,5900
568,87, 3 ambs. , Av Pueyrredón al 1700 ,Recoleta, Capital Federal ,42000
569,57, 3 ambs. , Ancon y Av. Dorrego ,Palermo, Capital Federal ,35000
570,46, 3 ambs. , SCALABRINI ORTIZ al 1400 ,Palermo, Capital Federal ,30000
571,60, 3 ambs. , Av. Juan de Garay al 500 ,San Telmo, Capital Federal ,20000
572,117, 3 ambs. , Martha SALOTTI al al 400 ,Puerto Madero, Capital Federal ,1500
573,60, 3 ambs. , Guardia Vieja ,Almagro, Capital Federal ,36000
574,75, 3 ambs. , Honorio Pueyrredon 843 ,Caballito, Capital Federal ,32000
575,114, 3 ambs. ,Avd. Alvear 1700,Recoleta, Capital Federal ,2000
576,51, 3 ambs. , Republica De Eslovenia 100 ,Palermo, Capital Federal ,42000
577,70, 3 ambs. , Bo. Olímpico ,Villa Lugano, Villa Lugano ,18000
578,80, 3 ambs. , Pacheco de Melo Jose A. al 2000 ,Recoleta, Capital Federal ,36000
579,190, 3 ambs. , Azucena Villaflor al 600 ,Puerto Madero, Capital Federal ,250000
580,75, 3 ambs. , AZCUENAGA al 1400 ,Recoleta, Capital Federal ,35000
581,90, 3 ambs. , JUAN FRANCISO SEGUI al 4600 ,Palermo, Capital Federal ,160000
582,90, 3 ambs. , Cerrito 1500 E/posadas y DEL Libertador ,Recoleta, Capital Federal ,45000
583,51, 3 ambs. , Republica De Eslovenia 1900 ,Palermo, Capital Federal ,42000
584,75, 3 ambs. , Marcelo Torcuato de Alvear al 2000 ,Recoleta, Capital Federal ,36000
585,72, 3 ambs. , Sinclair al 3200 ,Palermo, Capital Federal ,1300
