Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Agronomía,BBQ Joint,Plaza,Garden Center,Farmers Market,Bus Stop,Athletics & Sports,Tunnel,Trail,Empanada Restaurant,Flea Market
Almagro,Argentinian Restaurant,Bar,Ice Cream Shop,Pizza Place,Italian Restaurant,Cheese Shop,Sandwich Place,Coffee Shop,Concert Hall,Dessert Shop
Balvanera,Fast Food Restaurant,Café,Hotel,Furniture / Home Store,Arts & Crafts Store,Pizza Place,Gas Station,Gym / Fitness Center,BBQ Joint,Gym
Barracas,Train Station,Farmers Market,Auto Workshop,Electronics Store,Food & Drink Shop,Flea Market,Fish Market,Fast Food Restaurant,Factory,Event Space
Belgrano,Argentinian Restaurant,Coffee Shop,Ice Cream Shop,Tea Room,Pizza Place,Vegetarian / Vegan Restaurant,Bookstore,Café,Pharmacy,Peruvian Restaurant
Boedo,Argentinian Restaurant,Soccer Field,Breakfast Spot,Ice Cream Shop,Intersection,Dessert Shop,Pizza Place,BBQ Joint,Event Space,Food & Drink Shop
Caballito,Café,Argentinian Restaurant,Bakery,Fast Food Restaurant,Gym,Soccer Stadium,Market,Restaurant,Pizza Place,Plaza
Chacarita,Pizza Place,Argentinian Restaurant,Café,Coffee Shop,Theater,Bus Station,Bus Stop,Sandwich Place,Spanish Restaurant,Sporting Goods Shop
Coghlan,Café,Bus Station,Pizza Place,Music Store,Bus Stop,Fast Food Restaurant,Bakery,BBQ Joint,Gym / Fitness Center,Restaurant
Colegiales,Pizza Place,Argentinian Restaurant,Gym,Brewery,Beer Bar,Café,Mexican Restaurant,Bus Station,Sports Club,South American Restaurant
Constitución,Café,Argentinian Restaurant,Intersection,Bus Stop,Soccer Field,Hotel,BBQ Joint,Plaza,Electronics Store,Fast Food Restaurant
Flores,Ice Cream Shop,Café,Pizza Place,Pharmacy,Electronics Store,Tennis Court,Restaurant,Dessert Shop,Noodle House,Shopping Plaza
Floresta,Argentinian Restaurant,Plaza,Comfort Food Restaurant,Deli / Bodega,Supermarket,Middle Eastern Restaurant,Toy / Game Store,Café,Yoga Studio,English Restaurant
La Boca,Theater,Pizza Place,Bus Stop,Farmers Market,Argentinian Restaurant,Arts & Crafts Store,Seafood Restaurant,Italian Restaurant,Coffee Shop,Performing Arts Venue
La Paternal,Bus Stop,Diner,Arts & Entertainment,Shopping Mall,Yoga Studio,English Restaurant,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market
Liniers,Ice Cream Shop,Argentinian Restaurant,Rock Club,Plaza,Bus Stop,Grocery Store,Electronics Store,Fish Market,Fast Food Restaurant,Farmers Market
Mataderos,Cheese Shop,Soccer Field,Dessert Shop,Skate Park,Electronics Store,Fish Market,Fast Food Restaurant,Farmers Market,Factory,Event Space
Monserrat,Spanish Restaurant,Hotel,Café,Nightclub,Coffee Shop,Hostel,Argentinian Restaurant,Italian Restaurant,Pizza Place,Bar
Monte Castro,Café,Ice Cream Shop,Argentinian Restaurant,Coffee Shop,Pizza Place,School,Empanada Restaurant,Fish Market,Fast Food Restaurant,Farmers Market
Nueva Pompeya,Pizza Place,Fast Food Restaurant,Plaza,Grocery Store,Train Station,Sports Club,Yoga Studio,Electronics Store,Fish Market,Farmers Market
Núñez,BBQ Joint,Argentinian Restaurant,Restaurant,Sports Club,Soccer Field,Brewery,Sushi Restaurant,Tennis Court,Plaza,Convenience Store
Palermo,Ice Cream Shop,Hotel,Argentinian Restaurant,Café,Grocery Store,Clothing Store,Pizza Place,Bakery,Pharmacy,Seafood Restaurant
Parque Avellaneda,Ice Cream Shop,Beer Garden,Athletics & Sports,Candy Store,Toll Booth,Event Space,Food & Drink Shop,Flea Market,Fish Market,Fast Food Restaurant
Parque Chacabuco,Pharmacy,Café,Ice Cream Shop,Bar,Supermarket,Pizza Place,Gym,Fish Market,Fast Food Restaurant,Farmers Market
Parque Chas,Plaza,BBQ Joint,Pizza Place,Café,Grocery Store,Electronics Store,Fish Market,Fast Food Restaurant,Farmers Market,Factory
Parque Patricios,Ice Cream Shop,Pizza Place,Restaurant,Bakery,Argentinian Restaurant,Coffee Shop,Café,Metro Station,Empanada Restaurant,Sandwich Place
Puerto Madero,Argentinian Restaurant,Coffee Shop,Hotel Bar,Food Truck,Italian Restaurant,Outdoor Sculpture,Lounge,Hotel,BBQ Joint,Ice Cream Shop
Recoleta,Hotel,French Restaurant,Italian Restaurant,Argentinian Restaurant,Plaza,Bakery,Ice Cream Shop,Brewery,Burger Joint,Bar
Retiro,Hotel,Italian Restaurant,Plaza,Coffee Shop,Monument / Landmark,Café,Gym / Fitness Center,Cocktail Bar,Restaurant,Argentinian Restaurant
Saavedra,Bakery,Restaurant,Ice Cream Shop,Plaza,Pharmacy,Doctor's Office,Bus Stop,Music Venue,Steakhouse,Food Truck
San Cristóbal,Ice Cream Shop,Theater,Pizza Place,Convenience Store,Pharmacy,Dessert Shop,Café,Bus Stop,Soccer Field,Breakfast Spot
San Nicolás,Hotel,Café,Theater,Coffee Shop,Argentinian Restaurant,Bar,Hostel,Sandwich Place,Pub,Shopping Plaza
San Telmo,Argentinian Restaurant,Bar,Hotel,Café,Ice Cream Shop,BBQ Joint,Restaurant,Pizza Place,Coffee Shop,Italian Restaurant
Versalles,Soccer Field,Supermarket,Plaza,Market,Argentinian Restaurant,Pizza Place,Veterinarian,Hardware Store,Gym / Fitness Center,Grocery Store
Villa Crespo,Pizza Place,Café,Argentinian Restaurant,Coffee Shop,Ice Cream Shop,Dance Studio,Sandwich Place,Bakery,Burger Joint,Gym
Villa Devoto,Coffee Shop,Café,Beer Bar,Ice Cream Shop,Italian Restaurant,Restaurant,Bistro,Chocolate Shop,Shopping Mall,Burger Joint
Villa General Mitre,Bus Stop,Outdoor Sculpture,Supermarket,Pizza Place,Intersection,Italian Restaurant,Café,Tennis Court,Yoga Studio,Fast Food Restaurant
Villa Lugano,Ice Cream Shop,Bus Stop,Argentinian Restaurant,Dessert Shop,Pharmacy,Gym / Fitness Center,Gym,Bakery,Bar,English Restaurant
Villa Luro,Ice Cream Shop,Argentinian Restaurant,BBQ Joint,Dance Studio,Pizza Place,Coffee Shop,Café,Brewery,Spanish Restaurant,Supermarket
Villa Ortúzar,BBQ Joint,Gym / Fitness Center,Coffee Shop,Rock Club,Mexican Restaurant,Supermarket,Metro Station,Bakery,Auto Workshop,Music Venue
Villa Pueyrredón,Plaza,Ice Cream Shop,Coffee Shop,Train Station,Dance Studio,Empanada Restaurant,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market
Villa Real,Bus Stop,Tennis Court,Sports Club,Pharmacy,Bus Station,Gym,Athletics & Sports,Bakery,Plaza,History Museum
Villa Riachuelo,Beer Garden,Plaza,Pizza Place,Yoga Studio,Empanada Restaurant,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Factory
Villa Santa Rita,Ice Cream Shop,BBQ Joint,Pizza Place,Park,Shop & Service,Café,Bus Stop,Bar,Sports Club,Gym
Villa Soldati,Soccer Stadium,Bus Stop,Yoga Studio,Food Service,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Factory,Event Space
Villa Urquiza,Italian Restaurant,Coffee Shop,Café,Bakery,Pizza Place,Train Station,Metro Station,Sports Club,Restaurant,Ice Cream Shop
Villa del Parque,Pharmacy,Ice Cream Shop,Plaza,Gym,Train Station,Shopping Mall,Big Box Store,Mediterranean Restaurant,Gastropub,Bakery
Vélez Sarsfield,Argentinian Restaurant,Soccer Field,Bus Stop,Sports Club,Yoga Studio,English Restaurant,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market
